pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm029,iqr_diagonal_laplace,native_combined_random_split_perm029_A,native_combined_random_split_perm029_B,-755.3921745250689,-755.3830782387851,-0.009096286283806876,0.009096286283806876,729.84925,729.91096,0.06171000000006188,native_combined_random_split,29
native_combined_random_split_perm030,full_covariance_laplace,native_combined_random_split_perm030_A,native_combined_random_split_perm030_B,-754.2861963408504,-754.1069690150003,-0.1792273258500927,0.1792273258500927,729.84925,729.91096,0.06171000000006188,native_combined_random_split,30
native_combined_random_split_perm030,diagonal_covariance_laplace,native_combined_random_split_perm030_A,native_combined_random_split_perm030_B,-754.2849822525611,-754.1058058529602,-0.17917639960091947,0.17917639960091947,729.84925,729.91096,0.06171000000006188,native_combined_random_split,30
native_combined_random_split_perm030,iqr_diagonal_laplace,native_combined_random_split_perm030_A,native_combined_random_split_perm030_B,-755.3804475074527,-755.388326178214,0.007878670761328976,0.007878670761328976,729.84925,729.91096,0.06171000000006188,native_combined_random_split,30
native_combined_random_split_perm031,full_covariance_laplace,native_combined_random_split_perm031_A,native_combined_random_split_perm031_B,-754.8429324983317,-753.9105856151408,-0.9323468831909167,0.9323468831909167,729.98223,729.84925,-0.132979999999975,native_combined_random_split,31
native_combined_random_split_perm031,diagonal_covariance_laplace,native_combined_random_split_perm031_A,native_combined_random_split_perm031_B,-754.8426087565049,-753.9084163210415,-0.9341924354633875,0.9341924354633875,729.98223,729.84925,-0.132979999999975,native_combined_random_split,31
native_combined_random_split_perm031,iqr_diagonal_laplace,native_combined_random_split_perm031_A,native_combined_random_split_perm031_B,-755.4548377255444,-755.3791592242355,-0.07567850130885745,0.07567850130885745,729.98223,729.84925,-0.132979999999975,native_combined_random_split,31
native_combined_random_split_perm032,full_covariance_laplace,native_combined_random_split_perm032_A,native_combined_random_split_perm032_B,-754.406847856882,-754.0549407816934,-0.351907075188592,0.351907075188592,729.84925,729.9268,0.0775499999999738,native_combined_random_split,32
native_combined_random_split_perm032,diagonal_covariance_laplace,native_combined_random_split_perm032_A,native_combined_random_split_perm032_B,-754.4051723022185,-754.0542619065111,-0.3509103957073876,0.3509103957073876,729.84925,729.9268,0.0775499999999738,native_combined_random_split,32
native_combined_random_split_perm032,iqr_diagonal_laplace,native_combined_random_split_perm032_A,native_combined_random_split_perm032_B,-755.3311639718795,-755.4448909508303,0.11372697895080819,0.11372697895080819,729.84925,729.9268,0.0775499999999738,native_combined_random_split,32
native_combined_random_split_perm033,full_covariance_laplace,native_combined_random_split_perm033_A,native_combined_random_split_perm033_B,-754.0762967650684,-754.301098797695,0.2248020326265987,0.2248020326265987,729.84925,729.91096,0.06171000000006188,native_combined_random_split,33
native_combined_random_split_perm033,diagonal_covariance_laplace,native_combined_random_split_perm033_A,native_combined_random_split_perm033_B,-754.0755690182,-754.2995362437862,0.2239672255861933,0.2239672255861933,729.84925,729.91096,0.06171000000006188,native_combined_random_split,33
native_combined_random_split_perm033,iqr_diagonal_laplace,native_combined_random_split_perm033_A,native_combined_random_split_perm033_B,-755.3565861819551,-755.4144838350039,0.057897653048826214,0.057897653048826214,729.84925,729.91096,0.06171000000006188,native_combined_random_split,33
native_combined_random_split_perm034,full_covariance_laplace,native_combined_random_split_perm034_A,native_combined_random_split_perm034_B,-754.7709419267632,-753.9014149066961,-0.8695270200670393,0.8695270200670393,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,34
native_combined_random_split_perm034,diagonal_covariance_laplace,native_combined_random_split_perm034_A,native_combined_random_split_perm034_B,-754.7705264116913,-753.8989953988121,-0.8715310128792453,0.8715310128792453,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,34
native_combined_random_split_perm034,iqr_diagonal_laplace,native_combined_random_split_perm034_A,native_combined_random_split_perm034_B,-755.3891981655627,-755.3703440762358,-0.018854089326850954,0.018854089326850954,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,34
native_combined_random_split_perm035,full_covariance_laplace,native_combined_random_split_perm035_A,native_combined_random_split_perm035_B,-754.0332427638069,-754.4065673392658,0.3733245754589234,0.3733245754589234,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,35
native_combined_random_split_perm035,diagonal_covariance_laplace,native_combined_random_split_perm035_A,native_combined_random_split_perm035_B,-754.0325527088082,-754.4043323763836,0.37177966757542436,0.37177966757542436,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,35
native_combined_random_split_perm035,iqr_diagonal_laplace,native_combined_random_split_perm035_A,native_combined_random_split_perm035_B,-755.3994188332654,-755.4020528440046,0.0026340107392570644,0.0026340107392570644,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,35
